id_str,from_user,text,created_at,time,geo_coordinates,user_lang,in_reply_to_user_id_str,in_reply_to_screen_name,from_user_id_str,in_reply_to_status_id_str,source,profile_image_url,user_followers_count,user_friends_count,status_url,entities_str
670028480118034432,christyolivas07,RT @cwtvd: Craving seconds of #TVD this holiday? Indulge in the latest episodes now: https://t.co/EFqSXcCT1k https://t.co/yLuj4D0N2Y,Thu Nov 26 23:56:52 +0000 2015,26/11/2015 23:56:52,,en,,,256687001,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/669293619619061760/D_VlYTFb_normal.jpg,31,1587,http://twitter.com/christyolivas07/statuses/670028480118034432,"{""hashtags"":[{""text"":""TVD"",""indices"":[30,34]}],""symbols"":[],""user_mentions"":[{""screen_name"":""cwtvd"",""name"":""The Vampire Diaries"",""id"":1209309782,""id_str"":""1209309782"",""indices"":[3,9]}],""urls"":[{""url"":""https://t.co/EFqSXcCT1k"",""expanded_url"":""http://on.cwtv.com/TVD707"",""display_url"":""on.cwtv.com/TVD707"",""indices"":[85,108]}],""media"":[{""id"":669626661445464000,""id_str"":""669626661445464065"",""indices"":[109,132],""media_url"":""http://pbs.twimg.com/media/CUr95peWcAEj4Du.png"",""media_url_https"":""https://pbs.twimg.com/media/CUr95peWcAEj4Du.png"",""url"":""https://t.co/yLuj4D0N2Y"",""display_url"":""pic.twitter.com/yLuj4D0N2Y"",""expanded_url"":""http://twitter.com/cwtvd/status/669953814582050816/photo/1"",""type"":""photo"",""sizes"":{""medium"":{""w"":600,""h"":338,""resize"":""fit""},""large"":{""w"":1024,""h"":576,""resize"":""fit""},""thumb"":{""w"":150,""h"":150,""resize"":""crop""},""small"":{""w"":340,""h"":191,""resize"":""fit""}},""source_status_id"":669953814582050800,""source_status_id_str"":""669953814582050816"",""source_user_id"":1209309782,""source_user_id_str"":""1209309782""}]}"
670028407867076608,JadaSadee,RT @phoebecapon: I've been craving cheesy chips for way too long now,Thu Nov 26 23:56:35 +0000 2015,26/11/2015 23:56:35,,en-GB,,,3759031996,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/669600911581401088/O8jpByFp_normal.jpg,126,207,http://twitter.com/JadaSadee/statuses/670028407867076608,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""phoebecapon"",""name"":""Phoebe Capon"",""id"":2308954844,""id_str"":""2308954844"",""indices"":[3,15]}],""urls"":[]}"
670028401483362304,Boss_Belle,Craving @Kb_noles_95 fried chicken 😭😭😭😂 man my dawg be throwing down,Thu Nov 26 23:56:34 +0000 2015,26/11/2015 23:56:34,,en,,,86627490,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/662383310170169344/dzP_1RTM_normal.jpg,3337,1032,http://twitter.com/Boss_Belle/statuses/670028401483362304,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""Kb_noles_95"",""name"":""keith bryant"",""id"":1180403287,""id_str"":""1180403287"",""indices"":[8,20]}],""urls"":[]}"
670028350094761984,AaronWilson1997,Craving super noodles,Thu Nov 26 23:56:21 +0000 2015,26/11/2015 23:56:21,,en,,,553689986,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/630082867113144320/xATCWn7I_normal.jpg,489,429,http://twitter.com/AaronWilson1997/statuses/670028350094761984,"{""hashtags"":[],""symbols"":[],""user_mentions"":[],""urls"":[]}"
670028311851048960,QueerestFan,"sheabutterbitch: hello, I’m dying and craving romantic affection https://t.co/yIkXvk08uE",Thu Nov 26 23:56:12 +0000 2015,26/11/2015 23:56:12,,en,,,3229870414,,"<a href=""http://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>",http://pbs.twimg.com/profile_images/620732522952040448/r4LUgwtF_normal.jpg,32,114,http://twitter.com/QueerestFan/statuses/670028311851048960,"{""hashtags"":[],""symbols"":[],""user_mentions"":[],""urls"":[{""url"":""https://t.co/yIkXvk08uE"",""expanded_url"":""http://tmblr.co/Zrr28o1yqWzhw"",""display_url"":""tmblr.co/Zrr28o1yqWzhw"",""indices"":[65,88]}]}"
670028306268340224,ccajalne,when ur craving bagels so u buy a dozen for urself 🆗,Thu Nov 26 23:56:11 +0000 2015,26/11/2015 23:56:11,,en,,,33787922,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/654771843702755328/lgS6HkwA_normal.jpg,621,1328,http://twitter.com/ccajalne/statuses/670028306268340224,"{""hashtags"":[],""symbols"":[],""user_mentions"":[],""urls"":[]}"
670028255546748928,Lali_Lana_,RT @cwtvd: Craving seconds of #TVD this holiday? Indulge in the latest episodes now: https://t.co/EFqSXcCT1k https://t.co/yLuj4D0N2Y,Thu Nov 26 23:55:59 +0000 2015,26/11/2015 23:55:59,,es,,,452669047,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/656536952225832960/v_AZUFjk_normal.jpg,534,504,http://twitter.com/Lali_Lana_/statuses/670028255546748928,"{""hashtags"":[{""text"":""TVD"",""indices"":[30,34]}],""symbols"":[],""user_mentions"":[{""screen_name"":""cwtvd"",""name"":""The Vampire Diaries"",""id"":1209309782,""id_str"":""1209309782"",""indices"":[3,9]}],""urls"":[{""url"":""https://t.co/EFqSXcCT1k"",""expanded_url"":""http://on.cwtv.com/TVD707"",""display_url"":""on.cwtv.com/TVD707"",""indices"":[85,108]}],""media"":[{""id"":669626661445464000,""id_str"":""669626661445464065"",""indices"":[109,132],""media_url"":""http://pbs.twimg.com/media/CUr95peWcAEj4Du.png"",""media_url_https"":""https://pbs.twimg.com/media/CUr95peWcAEj4Du.png"",""url"":""https://t.co/yLuj4D0N2Y"",""display_url"":""pic.twitter.com/yLuj4D0N2Y"",""expanded_url"":""http://twitter.com/cwtvd/status/669953814582050816/photo/1"",""type"":""photo"",""sizes"":{""medium"":{""w"":600,""h"":338,""resize"":""fit""},""large"":{""w"":1024,""h"":576,""resize"":""fit""},""thumb"":{""w"":150,""h"":150,""resize"":""crop""},""small"":{""w"":340,""h"":191,""resize"":""fit""}},""source_status_id"":669953814582050800,""source_status_id_str"":""669953814582050816"",""source_user_id"":1209309782,""source_user_id_str"":""1209309782""}]}"
670028226693992448,TodiscoEmily,I'm craving a B and pecan pie👅👅👅,Thu Nov 26 23:55:52 +0000 2015,26/11/2015 23:55:52,,en,,,1591335104,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/670500696773365760/5A5xUgZ3_normal.jpg,238,155,http://twitter.com/TodiscoEmily/statuses/670028226693992448,"{""hashtags"":[],""symbols"":[],""user_mentions"":[],""urls"":[]}"
670028214845095936,3XJon_,@TaurusBoiBlue U Better Be Fucking Down(; Cuz Im Hungry For That Ass And Craving Some Throat Around My Dick,Thu Nov 26 23:55:49 +0000 2015,26/11/2015 23:55:49,,en,3000591899,TaurusBoiBlue,3316403346,669640060648693760,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/640028523072122880/HJfGeQkO_normal.jpg,147,154,http://twitter.com/3XJon_/statuses/670028214845095936,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""TaurusBoiBlue"",""name"":""♉Freak by Nature ♉"",""id"":3000591899,""id_str"":""3000591899"",""indices"":[0,14]}],""urls"":[]}"
670028116006322176,TheToniBlair,"@IJasonAlexander Happy Thanksgiving, Jason.  I hope yours was Turkey-Licious.  I am having Indian Food, like Chris Columbus was craving.",Thu Nov 26 23:55:26 +0000 2015,26/11/2015 23:55:26,,en,155823836,IJasonAlexander,1222613804,669907789813145601,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://pbs.twimg.com/profile_images/612652328781373440/ViUlsFZz_normal.jpg,61,53,http://twitter.com/TheToniBlair/statuses/670028116006322176,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""IJasonAlexander"",""name"":""jason alexander"",""id"":155823836,""id_str"":""155823836"",""indices"":[0,16]}],""urls"":[]}"
